Group,Item,factor1,factor2,Sentence,VerbDutch,VerbEnglish,PredicateDutch,PredicateEnglish
a,24,WAS,male,Hoe overdonderd door hem was,zijn,be,overdonderd,overwhelmed
a,25,WAS,male,Hoe gesteld op hem was,zijn,be,gesteld ,fond of 
a,26,filler,filler1,Hoe lang in het donker dacht ,denken,think,,How long in the dark 
a,27,filler,filler2,Hoe vaak was,zijn,be,,How often
a,28,filler,filler3,Wanneer ongeveer was ,zijn,be,,When approximately
a,29,filler,filler4,Hoe vaak in het algemeen was,zijn,be,,How often in general
a,30,filler,filler5,Wat voor type auto wilde  ,willen,want,,What type of car 
a,31,filler,filler6,Wie kon op donderdag,kunnen,can,,Who on Thursday
a,32,filler,filler7,Hoe laat in de middag arriveerde,arriveren,arrive,,What time in the afternoon
a,33,filler,filler8,Hoe ver achteraan in de file stond,staan,stand,,How far behind in the traffic jam
a,34,filler,filler9,Hoe vroeg op deze koude ochtend gaat,gaan,go,,How early on this cold morning
a,35,filler,filler10,Hoe graag vertelt,vertellen,tell,,How eagerly 
a,36,filler,filler11,Welke man op straat zag,zien,see,,What man on the street 
a,37,filler,filler12,Welke foto van de man wilde,willen,want,,Which photo of the man 
a,38,filler,filler13,Hoeveel jaar oud denkt,denken,think,,How many years old 
a,39,filler,filler14,Welke gegevens van de klant wil,willen,want,,Which information of the customer 
a,40,filler,filler15,Hoe kritisch over zijn aanstaande kandidatuur verweet,verwijten,accuse,,How critical of his upcoming candidacy 
a,41,filler,filler16,Wie van de zeven dwergen vergat,vergeten,forget,,Which of the seven dwarves 
a,42,filler,filler17,Waar op de binnenplaats achterhaalde,,find,,Where in the atrium 
a,43,filler,filler18,Wie van de mannen op de foto kon,,can,,Who of the men in the photo
a,44,filler,filler19,Welke belangrijke informatie betwistte,,doubt,,Which important information doubted
a,45,filler,filler20,Welke bijwerkingen van het medicijn hoopte ,,hope,,What side effects of the medicine
a,46,filler,filler21,Hoe dol op z'n nieuwe auto vertelde,,tell,,Hoe fond of his new car
a,47,filler,filler22,In wat voor toestanden kon,,can,,In what circumstances
a,48,filler,filler23,Welke extra toevoegingen aan z'n aansprakelijkheidsverzekering vroeg,,ask,,What add-ons to his liability insurance
a,49,filler,filler24,Welk groot museum won,,win,,Which big museum
a,50,filler,filler25,Hoe snel tijdens de race kreeg,,receive,,How early on in the reace
a,51,filler,filler26,Hoeveel mensen in de stad zaten,,sit,,How many people in the city
a,52,filler,filler27,Welke afbeelding op het computerscherm was,,be,,Which image on the computer screen
a,53,filler,filler28,Waarover midden in de nacht sprak,,talk,,About what in the middle of the night
a,54,filler,filler29,Hoe duur vergeleken met andere instrumenten was,,be,,How expensive compared to other instruments
a,55,filler,filler30,Wie van de drie kandidaten ging,,go,,Which of the three candidates
a,56,filler,filler31,Hoe veel langer dan aanvankelijk voorspeld duurde,,take,,How much longer than initially predicted
a,57,filler,filler32,Welke fanatieke aanhangers van de omstreden politicus verbaasde,,surprise,,Which of the fanatical supporters of the controversial politician
a,58,filler,filler33,Hoe scherp op een schaal van een tot tien schatte,,estimate,,How sharp on a scale from one to ten 
a,59,filler,filler34,Welk klasgenootje in de derde klas vond,,find,,Which classmate in third grade
a,60,filler,filler35,Vanuit welke hoek op het veld probeerde,,try,,From which corner of the field 
a,61,filler,filler36,Welke ingewikkelde som op de rekentoets kon,,can,,Which complicated problem on the math test
a,62,filler,filler37,Hoe veel pijn van de akelige tackel leek,,seem,,How much pain from the awful tackle
a,63,filler,filler38,Wanneer in het verhitte debat over de begroting zwichtte ,,give in,,When in the heated debate about the budget
a,64,filler,filler39,Wie in de theaterzaal leek,,seem,,Who in the theatre
a,65,filler,filler40,Welke geur in de keuken rook,,smell,,Which odour in the kitchen
,66,filler,filler41,Welke dag van de week wilde,,want,,What day of the week
,67,filler,filler42,Hoe hard van de middenstip trapte ,,kick,,How hard from the centre of the field
,68,filler,filler43,Wanneer in het verwerkingsproces van dit product gaat,,go,,When in the processing scheme of the product
,69,filler,filler44,Hoe plotseling en onverwacht hoorde,,hear,,How sudden and unexpected
,70,filler,filler45,Welke manieren om alles geheim te houden bedacht,,invent,,What ways to keep everything secret
,71,filler,filler46,Welke dappere brandweerman van het lokale korps kon,,can,,Which brave firefighter from the local brigade
,72,filler,filler47,Welke verdieping van de parkeergarage heeft,,have,,What floor of the parkade
,73,filler,filler48,Waar ergens in het plafond met het lek moet,,must/have to,,Whereabouts in the ceiling with the leak
,74,filler,filler49,Wat op het menu van het luxe restaurant ziet,,seem,,What on the menu of the luxurious restaurant
,75,filler,filler50,Welke gang in het spookhuis lijkt,,seem,,Which corridor of the haunted house
