Group,Number,factor1,factor2,Sentence,VerbDutch,VerbEnglish,PredicateDutch,PredicateEnglish
a,69,filler,filler30,Wie van de drie kandidaten ging,,go,,Which of the three candidates
a,13,DID,female,Hoe boos op haar en de grote fout verwachtte,geloven,believe,boos,upset (a)
a,62,filler,filler23,Welke extra toevoegingen aan z'n aansprakelijkheidsverzekering vroeg,,ask,,What add-ons to his liability insurance
a,16,DID,male,Hoe verrast met hem vanwege het succes hoopte,hopen,hope,verrast,surprised
a,29,WAS,female,Hoe trots op haar was,zijn,be,trots,proud
a,70,filler,filler31,Hoe veel langer dan aanvankelijk voorspeld duurde,,take,,How much longer than initially predicted
a,4,DID,male,Hoe gelukkig met hem op het terras zag,zien,see,gelukkig,happy
a,65,filler,filler26,Hoeveel mensen in de stad zaten,,sit,,How many people in the city
a,22,DID,male,Hoe geirriteerd met hem vanwege de herrie verklaarde,verklaren,declare,geirriteerd,annoyed
a,48,filler,filler9,Hoe vroeg op deze koude ochtend gaat,gaan,go,,How early on this cold morning
a,37,WAS,male,Hoe verrast met hem was,zijn,be,verrast,surprised
a,14,DID,male,Hoe gelukkig met hem vanwege het succes zei,zeggen,say,gelukkig,happy
a,51,filler,filler12,Welke foto van de man wilde,willen,want,,Which photo of the man 
a,21,DID,female,Hoe teleurgesteld met haar vergat,vergeten,forget,teleurgsteld,disappointed
a,41,filler,filler2,Hoe vaak was,zijn,be,,How often
a,34,WAS,male,Hoe verliefd op hem was ,zijn,be,verliefd,in love with
a,59,filler,filler20,Welke bijwerkingen van het medicijn hoopte ,,hope,,What side effects of the medicine
a,47,filler,filler8,Hoe ver achteraan in de file stond,staan,stand,,How far behind in the traffic jam
