Label,Position,CG,Class,Number,Verb,analysis,Sagen,Given,Answer,Claim,Question,
Rating,CTRL,NEW,CTRL-NEW,11,sagen,/e/,"Stell dir vor, du bist auf einer Party, und du h&ouml;rst zuf&auml;llig ein Gespr&auml;ch zwischen zwei deiner Freunde, <font color=""green"">Felicia</font> und <font color=""blue""> Alicia</font>. ","Du h&ouml;rst <font color=""green"">Julie</font> sagen:","Minna ist nicht qualifiziert f&uuml;r den Job, oder?","<font color=""blue""> Alicia</font> antwortet:","Ja, und sie freut sich nicht, anzufangen.",F&uuml;r mich h&ouml;rt sich dieser Satz: 
Rating,EV2,GIVEN,EV2-GIV ,12,erwahnen,/d/,"Stell dir vor, du bist auf einer Party, und du h&ouml;rst zuf&auml;llig ein Gespr&auml;ch zwischen zwei deiner Freunde, <font color=""green"">Frank</font> und <font color=""blue""> Amalia</font>. ","Du h&ouml;rst <font color=""green"">Julie</font> sagen:","Joanna ist in den Typen von nebenan verknallt, oder?","<font color=""blue""> Amalia</font> antwortet:","Ja, Ferdinand hat erw&auml;hnt, sie ist in den Typen von nebenan verknallt.",F&uuml;r mich h&ouml;rt sich dieser Satz: 
Rating,EV2,NEW,EV2-NEW ,13,mir erzahlen,/c/,"Stell dir vor, du bist auf einer Party, und du h&ouml;rst zuf&auml;llig ein Gespr&auml;ch zwischen zwei deiner Freunde, <font color=""green"">Fredrik</font> und <font color=""blue""> Andreas</font>. ","Du h&ouml;rst <font color=""green"">Julie</font> sagen:","Das neue Auto hat Probleme, oder?","<font color=""blue""> Andreas</font> antwortet:","Ja, Lukas hat mir erz&auml;hlt, es ist sehr laut.",F&uuml;r mich h&ouml;rt sich dieser Satz: 
Rating,EVF,GIVEN,EVF-GIV ,14,sagen,/b/,"Stell dir vor, du bist auf einer Party, und du h&ouml;rst zuf&auml;llig ein Gespr&auml;ch zwischen zwei deiner Freunde, <font color=""green"">Frans</font> und <font color=""blue""> Anders</font>. ","Du h&ouml;rst <font color=""green"">Julie</font> sagen:","Ida hat den Turnier gewonnen, oder?","<font color=""blue""> Anders</font> antwortet:","Ja, Martin hat gesagt, dass sie den Turnier gewonnen hat.",F&uuml;r mich h&ouml;rt sich dieser Satz: 
Rating,EVF,NEW,EVF-NEW ,15,mir erzahlen,/a/,"Stell dir vor, du bist auf einer Party, und du h&ouml;rst zuf&auml;llig ein Gespr&auml;ch zwischen zwei deiner Freunde, <font color=""green"">Karl</font> und <font color=""blue""> Ellinor</font>. ","Du h&ouml;rst <font color=""green"">Julie</font> sagen:","Jons neue Freundin is sehr nett, oder? ","<font color=""blue""> Ellinor</font> antwortet:","Ja, Niklas hat mir erz&auml;hlt, dass Jons Eltern sie m&ouml;gen.",F&uuml;r mich h&ouml;rt sich dieser Satz: 
Rating,CTRL,GIVEN,CTRL-GIV,16,mir erzahlen,/f/,"Stell dir vor, du bist auf einer Party, und du h&ouml;rst zuf&auml;llig ein Gespr&auml;ch zwischen zwei deiner Freunde, <font color=""green"">Ester</font> und <font color=""blue""> Ali</font>. ","Du h&ouml;rst <font color=""green"">Ester</font> sagen:","Der neue Lehrer ist streng, oder?","<font color=""blue""> Ali</font> antwortet:","Ja, und er ist streng.",F&uuml;r mich h&ouml;rt sich dieser Satz: 
Rating,CTRL,NEW,CTRL-NEW,17,sagen,/e/,"Stell dir vor, du bist auf einer Party, und du h&ouml;rst zuf&auml;llig ein Gespr&auml;ch zwischen zwei deiner Freunde, <font color=""green"">Franck</font> und <font color=""blue""> Stella</font>. ","Du h&ouml;rst <font color=""green"">Franck</font> sagen:","Pascal geht nach Italien, oder?","<font color=""blue""> Stella</font> antwortet:","Ja, und er ist ganz nerv&ouml;s.",F&uuml;r mich h&ouml;rt sich dieser Satz: 
Rating,EV2,GIVEN,EV2-GIV ,18,sagen,/d/,"Stell dir vor, du bist auf einer Party, und du h&ouml;rst zuf&auml;llig ein Gespr&auml;ch zwischen zwei deiner Freunde, <font color=""green"">Ricardo</font> und <font color=""blue""> Fritz</font>. ","Du h&ouml;rst <font color=""green"">Ricardo</font> sagen:","Rowdy braucht Hilfe mit seinem Auto, oder?","<font color=""blue""> Fritz</font> antwortet:","Ja, Anette hat gesagt, er braucht Hilfe mit seinem Auto.",F&uuml;r mich h&ouml;rt sich dieser Satz: 
Rating,EV2,NEW,EV2-NEW ,19,erwahnen,/c/,"Stell dir vor, du bist auf einer Party, und du h&ouml;rst zuf&auml;llig ein Gespr&auml;ch zwischen zwei deiner Freunde, <font color=""green"">Stacey</font> und <font color=""blue""> Martin</font>. ","Du h&ouml;rst <font color=""green"">Stacey</font> sagen:","Der Nachbar ist ein komischer Typ, oder?","<font color=""blue""> Martin</font> antwortet:","Ja, Suzanne hat erw&auml;hnt, er macht abends viel L&auml;rm.",F&uuml;r mich h&ouml;rt sich dieser Satz: 
Rating,EVF,GIVEN,EVF-GIV ,20,erwahnen,/b/,"Stell dir vor, du bist auf einer Party, und du h&ouml;rst zuf&auml;llig ein Gespr&auml;ch zwischen zwei deiner Freunde, <font color=""green"">Julie</font> und <font color=""blue""> Ella</font>. ","Du h&ouml;rst <font color=""green"">Julie</font> sagen:","Der Friseurladen is bankrott, oder?","<font color=""blue""> Ella</font> antwortet:","Ja, Estelle hat erw&auml;hnt, dass er bankrott ist.",F&uuml;r mich h&ouml;rt sich dieser Satz: 
Rating,EVF,NEW,EVF-NEW ,21,sagen,/a/,"Stell dir vor, du bist auf einer Party, und du h&ouml;rst zuf&auml;llig ein Gespr&auml;ch zwischen zwei deiner Freunde, <font color=""green"">Tamarah</font> und <font color=""blue""> Ben</font>. ","Du h&ouml;rst <font color=""green"">Tamarah</font> sagen:","Melissa ist schwanger, oder?","<font color=""blue""> Ben</font> antwortet:","Ja, William hat gesagt, dass sie das Geschlecht des Kindes kennt.",F&uuml;r mich h&ouml;rt sich dieser Satz: 
Rating,CTRL,GIVEN,CTRL-GIV,22,erwahnen,/f/,"Stell dir vor, du bist auf einer Party, und du h&ouml;rst zuf&auml;llig ein Gespr&auml;ch zwischen zwei deiner Freunde, <font color=""green"">Greta</font> und <font color=""blue""> Frances</font>. ","Du h&ouml;rst <font color=""green"">Greta</font> sagen:","Der Mieter pflegt den Garten nicht gut, oder?","<font color=""blue""> Frances</font> antwortet:","Ja, und er pflegt den Garten nicht gut",F&uuml;r mich h&ouml;rt sich dieser Satz: 
Rating,CTRL,NEW,CTRL-NEW,23,mir erzahlen,/e/,"Stell dir vor, du bist auf einer Party, und du h&ouml;rst zuf&auml;llig ein Gespr&auml;ch zwischen zwei deiner Freunde, <font color=""green"">Ingrid</font> und <font color=""blue""> Angelika</font>.","Du h&ouml;rst <font color=""green"">Ingrid</font> sagen:","Die Putzfrau will ein h&ouml;heres Gehalt, oder?","<font color=""blue""> Angelika</font> antwortet:","Ja, und der Gesch&auml;ftsf&uuml;hrer ist damit einverstanden.",F&uuml;r mich h&ouml;rt sich dieser Satz: 
Rating,EV2,GIVEN,EV2-GIV ,24,sagen,/d/,"Stell dir vor, du bist auf einer Party, und du h&ouml;rst zuf&auml;llig ein Gespr&auml;ch zwischen zwei deiner Freunde, <font color=""green"">Allison</font> und <font color=""blue""> Etienne</font>.","Du h&ouml;rst <font color=""green"">Allison</font> sagen:","Stan f&auml;hrt morgen in den Urlaub, oder?","<font color=""blue""> Etienne</font> antwortet:","Ja, Cheryl hat gesagt, er f&auml;hrt morgen in den Urlaub.",F&uuml;r mich h&ouml;rt sich dieser Satz: 
Rating,EV2,NEW,EV2-NEW ,25,erwahnen,/c/,"Stell dir vor, du bist auf einer Party, und du h&ouml;rst zuf&auml;llig ein Gespr&auml;ch zwischen zwei deiner Freunde, <font color=""green"">Jan</font> und <font color=""blue""> Robert</font>.","Du h&ouml;rst <font color=""green"">Jan</font> sagen:","Anja wohnt nicht mehr zu Hause, oder?","<font color=""blue""> Robert</font> antwortet:","Ja, mein Freund hat erw&auml;hnt,  Anjas neue Wohnung ist sehr sch&ouml;n.",F&uuml;r mich h&ouml;rt sich dieser Satz: 
Rating,EVF,GIVEN,EVF-GIV ,26,mir erzahlen,/b/,"Stell dir vor, du bist auf einer Party, und du h&ouml;rst zuf&auml;llig ein Gespr&auml;ch zwischen zwei deiner Freunde, <font color=""green"">Jeff und Belinda</font>.","Du h&ouml;rst <font color=""green"">Jeff</font> sagen:","Der neue B&auml;cker hei&szlig;t Michael, oder?","<font color=""blue""> Belinda</font> antwortet:","Ja, meine Mutter hat mir erz&auml;hlt, dass er Michael hei&szlig;t.",F&uuml;r mich h&ouml;rt sich dieser Satz: 
Rating,EVF,NEW,EVF-NEW ,27,sagen,/a/,"Stell dir vor, du bist auf einer Party, und du h&ouml;rst zuf&auml;llig ein Gespr&auml;ch zwischen zwei deiner Freunde, <font color=""green"">Felicia</font> und <font color=""blue""> Alicia</font>. ","Du h&ouml;rst <font color=""green"">Felicia</font> sagen:","Der neue Supermarkt ist teuer, oder?","<font color=""blue""> Alicia</font> antwortet:","Ja, Simone hat gesagt, dass er nur Premium-Marken verkauft.",F&uuml;r mich h&ouml;rt sich dieser Satz: 
Rating,CTRL,GIVEN,CTRL-GIV,28,erwahnen,/f/,"Stell dir vor, du bist auf einer Party, und du h&ouml;rst zuf&auml;llig ein Gespr&auml;ch zwischen zwei deiner Freunde, <font color=""green"">Frank</font> und <font color=""blue""> Amalia</font>. ","Du h&ouml;rst <font color=""green"">Frank</font> sagen:","Die Geburtstagstorte ist verbrannt, oder?","<font color=""blue""> Amalia</font> antwortet:","Ja, und sie ist verbrannt.",F&uuml;r mich h&ouml;rt sich dieser Satz: 
Rating,CTRL,NEW,CTRL-NEW,29,mir erzahlen,/e/,"Stell dir vor, du bist auf einer Party, und du h&ouml;rst zuf&auml;llig ein Gespr&auml;ch zwischen zwei deiner Freunde, <font color=""green"">Fredrik</font> und <font color=""blue""> Andreas</font>. ","Du h&ouml;rst <font color=""green"">Fredrik</font> sagen:","Der Zug f&auml;hrt an Feiertagen, oder?","<font color=""blue""> Andreas</font> antwortet:","Ja, und es gibt keinen separaten Sonntagsfahrplan mehr.",F&uuml;r mich h&ouml;rt sich dieser Satz: 
Rating,EV2,GIVEN,EV2-GIV ,30,sagen,/d/,"Stell dir vor, du bist auf einer Party, und du h&ouml;rst zuf&auml;llig ein Gespr&auml;ch zwischen zwei deiner Freunde, <font color=""green"">Frans</font> und <font color=""blue""> Anders</font>. ","Du h&ouml;rst <font color=""green"">Frans</font> sagen:","Peter ist aus dem Urlaub zur&uuml;ck, oder?","<font color=""blue""> Anders</font> antwortet:","Ja, Miriam hat gesagt, er ist aus dem Urlaub zur&uuml;ck.",F&uuml;r mich h&ouml;rt sich dieser Satz: 
Rating,EV2,NEW,EV2-NEW ,31,mir erzahlen,/c/,"Stell dir vor, du bist auf einer Party, und du h&ouml;rst zuf&auml;llig ein Gespr&auml;ch zwischen zwei deiner Freunde, <font color=""green"">Karl</font> und <font color=""blue""> Ellinor</font>. ","Du h&ouml;rst <font color=""green"">Karl</font> sagen:","Andre hat Jetlag, oder?","<font color=""blue""> Ellinor</font> antwortet:","Ja, seine Frau hat mir erz&auml;hlt, er hat sowieso schon schlafprobleme.",F&uuml;r mich h&ouml;rt sich dieser Satz: 
Rating,EVF,GIVEN,EVF-GIV ,32,mir erzahlen,/b/,"Stell dir vor, du bist auf einer Party, und du h&ouml;rst zuf&auml;llig ein Gespr&auml;ch zwischen zwei deiner Freunde, <font color=""green"">Ester</font> und <font color=""blue""> Ali</font>. ","Du h&ouml;rst <font color=""green"">Ester</font> sagen:","Die Renovierung der Schule ist abgeschlossen, oder?","<font color=""blue""> Ali</font> antwortet:","Ja, der Schulleiter hat mir erz&auml;hlt, dass sie abgeschlossen ist.",F&uuml;r mich h&ouml;rt sich dieser Satz: 
Rating,EVF,NEW,EVF-NEW ,33,mir erzahlen,/a/,"Stell dir vor, du bist auf einer Party, und du h&ouml;rst zuf&auml;llig ein Gespr&auml;ch zwischen zwei deiner Freunde, <font color=""green"">Fredrik</font> und <font color=""blue""> Andreas</font>. ","Du h&ouml;rst <font color=""green"">Fredrik</font> sagen:","Die Auktion hat viel gebracht, oder?","<font color=""blue""> Andreas</font> antwortet:","Ja, Fernando hat mir erz&auml;hlt, dass das Denkmal wieder aufgebaut werden kann.",F&uuml;r mich h&ouml;rt sich dieser Satz: 
Rating,CTRL,GIVEN,CTRL-GIV,34,erwahnen,/f/,"Stell dir vor, du bist auf einer Party, und du h&ouml;rst zuf&auml;llig ein Gespr&auml;ch zwischen zwei deiner Freunde, <font color=""green"">Frans</font> und <font color=""blue""> Anders</font>. ","Du h&ouml;rst <font color=""green"">Frans</font> sagen:","Der Streik hat zu Ergebnissen gef&uuml;hrt, oder?","<font color=""blue""> Anders</font> antwortet:","Ja, und er hat zu Ergebnissen gef&uuml;hrt.",F&uuml;r mich h&ouml;rt sich dieser Satz: 
Rating,CTRL,NEW,CTRL-NEW,35,mir erzahlen,/e/,"Stell dir vor, du bist auf einer Party, und du h&ouml;rst zuf&auml;llig ein Gespr&auml;ch zwischen zwei deiner Freunde, <font color=""green"">Karl</font> und <font color=""blue""> Ellinor</font>. ","Du h&ouml;rst <font color=""green"">Karl</font> sagen:","Die Buchhandlung wurde geschlossen, oder?","<font color=""blue""> Ellinor</font> antwortet:","Ja, und es gibt in der Stadt gar keine Buchhandlung mehr.",F&uuml;r mich h&ouml;rt sich dieser Satz: 
Rating,EV2,GIVEN,EV2-GIV ,36,erwahnen,/d/,"Stell dir vor, du bist auf einer Party, und du h&ouml;rst zuf&auml;llig ein Gespr&auml;ch zwischen zwei deiner Freunde, <font color=""green"">Ester</font> und <font color=""blue""> Ali</font>. ","Du h&ouml;rst <font color=""green"">Ester</font> sagen:","Der Weihnachtsmarkt war von Holl&auml;ndern &uuml;berf&uuml;llt, oder?","<font color=""blue""> Ali</font> antwortet:","Ja, meine Mutter hat erw&auml;hnt, er war von Holl&auml;ndern &uuml;berf&uuml;llt.",F&uuml;r mich h&ouml;rt sich dieser Satz: 
Rating,Filler,QUD+,FillerQUD+,37,,,"Stell dir vor, du bist auf einer Party, und du h&ouml;rst zuf&auml;llig ein Gespr&auml;ch zwischen zwei deiner Freunde, <font color=""green"">Jack</font> und <font color=""blue""> Charlie</font>. ","Du h&ouml;rst <font color=""green"">Jack</font> sagen:",Wie geht's Ivars Tochter in der Schule?,"<font color=""blue""> Charlie</font> antwortet:",Keine Ahnung. Ivar hat die Elternabende immer verpasst.,F&uuml;r mich h&ouml;rt sich dieser Satz: 
Rating,Filler,QUD+,FillerQUD+,38,,,"Stell dir vor, du bist auf einer Party, und du h&ouml;rst zuf&auml;llig ein Gespr&auml;ch zwischen zwei deiner Freunde, <font color=""green"">Hjalmar</font> und <font color=""blue""> Ben</font>. ","Du h&ouml;rst <font color=""green"">Hjalmar</font> sagen:","Bist du dir sicher, dass Felix unschuldig ist?","<font color=""blue""> Ben</font> antwortet:","K&ouml;nnte sein, aber Felix hat kein gutes Alibi.",F&uuml;r mich h&ouml;rt sich dieser Satz: 
Rating,Filler,QUD+,FillerQUD+,39,,,"Stell dir vor, du bist auf einer Party, und du h&ouml;rst zuf&auml;llig ein Gespr&auml;ch zwischen zwei deiner Freunde, <font color=""green"">Henry</font> und <font color=""blue""> Axel</font>. ","Du h&ouml;rst <font color=""green"">Henry</font> sagen:","Ich finde es sehr gut, dass Karolina das Dissertationsprojekt beendet hat.","<font color=""blue"">Axel</font> antwortet:","Ja, ich auch, aber Maike gef&auml;llt es nicht.",F&uuml;r mich h&ouml;rt sich dieser Satz: 
Rating,Filler,QUD+,FillerQUD+,40,,,"Stell dir vor, du bist auf einer Party, und du h&ouml;rst zuf&auml;llig ein Gespr&auml;ch zwischen zwei deiner Freunde, <font color=""green"">Ingrid</font> und <font color=""blue""> Camilla</font>. ","Du h&ouml;rst <font color=""green"">Ingrid</font> sagen:",Wie hat Emily diesen Kurs jemals bestanden?,"<font color=""blue"">Camilla</font> antwortet:",Emily hat in letzter Zeit keine Labor-Treffen ausgelassen.,F&uuml;r mich h&ouml;rt sich dieser Satz: 
Rating,Filler,QUD+,FillerQUD+,41,,,"Stell dir vor, du bist auf einer Party, und du h&ouml;rst zuf&auml;llig ein Gespr&auml;ch zwischen zwei deiner Freunde, <font color=""green"">Jenny</font> und <font color=""blue""> Cornelia</font>. ","Du h&ouml;rst <font color=""green"">Jenny</font> sagen:",War die Party gut gestern? ,"<font color=""blue"">Cornelia</font> antwortet:","Sie war okay, aber Walter kann die Freunde seiner Frau nicht leiden.",F&uuml;r mich h&ouml;rt sich dieser Satz: 
Rating,Filler,QUD+,FillerQUD+,42,,,"Stell dir vor, du bist auf einer Party, und du h&ouml;rst zuf&auml;llig ein Gespr&auml;ch zwischen zwei deiner Freunde, <font color=""green"">Johanna</font> und <font color=""blue""> Ebba</font>. ","Du h&ouml;rst <font color=""green"">Johanna</font> sagen:",War Per der einzige aus seinem Team auf der Party?,"<font color=""blue"">Ebba</font> antwortet:","Ja, aber das war kein Problem. Per mochte die Leute auf der Party sehr.",F&uuml;r mich h&ouml;rt sich dieser Satz: 
Rating,Filler,QUD+,FillerQUD+,43,,,"Stell dir vor, du bist auf einer Party, und du h&ouml;rst zuf&auml;llig ein Gespr&auml;ch zwischen zwei deiner Freunde, <font color=""green"">Inga</font> und <font color=""blue""> Bo</font>. ","Du h&ouml;rst <font color=""green"">Inga</font> sagen:",Ist Miriam in den Yoga-Lehrer verliebt? ,"<font color=""blue"">Bo</font> antwortet:","Ja, aber Wilhelmina hat sich schon mit dem Yoga-Lehrer getroffen.",F&uuml;r mich h&ouml;rt sich dieser Satz: 
Rating,Filler,QUD+,FillerQUD+,44,,,"Stell dir vor, du bist auf einer Party, und du h&ouml;rst zuf&auml;llig ein Gespr&auml;ch zwischen zwei deiner Freunde, <font color=""green"">Jasmine</font> und <font color=""blue""> Cleo</font>. ","Du h&ouml;rst <font color=""green"">Jasmine</font> sagen:",Hat Alexandra etwas &uuml;ber das Konzert gesagt?,"<font color=""blue"">Cleo</font> antwortet:","Ja, Alexandra hat das letzte Konzert sehr gefallen.",F&uuml;r mich h&ouml;rt sich dieser Satz: 
Rating,Filler,QUD+,FillerQUD+,45,,,"Stell dir vor, du bist auf einer Party, und du h&ouml;rst zuf&auml;llig ein Gespr&auml;ch zwischen zwei deiner Freunde, <font color=""green"">Isak</font> und <font color=""blue""> Kasper</font>. ","Du h&ouml;rst <font color=""green"">Isak</font> sagen:",Warum hat Max in letzter Zeit Witze &uuml;ber Frederik gemacht?,"<font color=""blue"">Kasper</font> antwortet:","Frederik ist in die Yoga Lehrerin verliebt, und Max findet das witzig. ",F&uuml;r mich h&ouml;rt sich dieser Satz: 
Rating,Filler,QUD+,FillerQUD+,46,,,"Stell dir vor, du bist auf einer Party, und du h&ouml;rst zuf&auml;llig ein Gespr&auml;ch zwischen zwei deiner Freunde, <font color=""green"">Johan</font> und <font color=""blue""> Rutger</font>. ","Du h&ouml;rst <font color=""green"">Johan</font> sagen:","Elias darf das Auto nicht fahren, oder?","<font color=""blue"">Rutger</font> antwortet:","Ja, Elias darf das Auto, das seine Frau geh&ouml;rt, nicht fahren.",F&uuml;r mich h&ouml;rt sich dieser Satz: 
Rating,Filler,QUD+,FillerQUD+,47,,,"Stell dir vor, du bist auf einer Party, und du h&ouml;rst zuf&auml;llig ein Gespr&auml;ch zwischen zwei deiner Freunde, <font color=""green"">Jan</font> und <font color=""blue""> Clara</font>. ","Du h&ouml;rst <font color=""green"">Jan</font> sagen:",Wie war das Restaurant gestern?,"<font color=""blue"">Clara</font> antwortet:","Nicht schlecht, aber Kerstin konnte die Bedienung im Restaurant nicht leiden.",F&uuml;r mich h&ouml;rt sich dieser Satz: 
Rating,Filler,QUD+,FillerQUD+,48,,,"Stell dir vor, du bist auf einer Party, und du h&ouml;rst zuf&auml;llig ein Gespr&auml;ch zwischen zwei deiner Freunde, <font color=""green"">Jacob</font> und <font color=""blue""> Christopher</font>. ","Du h&ouml;rst <font color=""green"">Jacob</font> sagen:",Warum wurde Oliver aus der Firma entlassen?,"<font color=""blue"">Christopher</font> antwortet:",Oliver hat das Abendessen mit dem Gesch&auml;ftsf&uuml;hrer verpatzt.,F&uuml;r mich h&ouml;rt sich dieser Satz: 
Rating,Filler,QUD+,FillerQUD+,49,,,"Stell dir vor, du bist auf einer Party, und du h&ouml;rst zuf&auml;llig ein Gespr&auml;ch zwischen zwei deiner Freunde, <font color=""green"">Idun</font> und <font color=""blue""> Birgit</font>. ","Du h&ouml;rst <font color=""green"">Idun</font> sagen:","Wie findet Marie, dass Ernst dem Buchclub beigetreten ist?","<font color=""blue"">Birgit</font> antwortet:","Marie findet das gut, glaube ich. ",F&uuml;r mich h&ouml;rt sich dieser Satz: 
Rating,Filler,QUD+,FillerQUD+,50,,,"Stell dir vor, du bist auf einer Party, und du h&ouml;rst zuf&auml;llig ein Gespr&auml;ch zwischen zwei deiner Freunde, <font color=""green"">Gun</font> und <font color=""blue""> Annika</font>. ","Du h&ouml;rst <font color=""green"">Gun</font> sagen:",Ist Lovis gl&uuml;cklich mit der Schule ihres Sohnes?,"<font color=""blue"">Annika</font> antwortet:","Ja, weil David eine gute Ausbildung bekommt.",F&uuml;r mich h&ouml;rt sich dieser Satz: 
Rating,Filler,QUD+,FillerQUD+,51,,,"Stell dir vor, du bist auf einer Party, und du h&ouml;rst zuf&auml;llig ein Gespr&auml;ch zwischen zwei deiner Freunde, <font color=""green"">Elvira</font> und <font color=""blue""> Karlos</font>. ","Du h&ouml;rst <font color=""green"">Elvira</font> sagen:",Spricht der neue Lehrer Deutsch?,"<font color=""blue"">Karlos</font> antwortet:","Kaum, Stefan kann ihn nicht gut verstehen.",F&uuml;r mich h&ouml;rt sich dieser Satz: 
Rating,Filler,QUD+,FillerQUD+,52,,,"Stell dir vor, du bist auf einer Party, und du h&ouml;rst zuf&auml;llig ein Gespr&auml;ch zwischen zwei deiner Freunde, <font color=""green"">Ida</font> und <font color=""blue""> Bianca</font>. ","Du h&ouml;rst <font color=""green"">Liesel</font> sagen:",Hast du Maria gesehen?,"<font color=""blue"">Bianca</font> antwortet:",Maria ist zu Hause geblieben. ,F&uuml;r mich h&ouml;rt sich dieser Satz: 
